Sample,TREE,Li,Be,Na,Mg,Al,Si,P,K,Ca,Sc,Ti,Cr,Fe,Mn,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Nb,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Th,U,Sample ID,Sample Type,Org In,Org Out,Aq In,Aq Out,NaOH Start,NaOH End,NaOH Used,Eq pH
K001-220617KA0,750.44500000,ND,ND,247.75500000,46.44000000,110.55000000,287.38500000,1.56750000,56.64000000,ND,ND,ND,ND,ND,29.83500000,34.38000000,ND,ND,624.85500000,ND,ND,ND,88.75500000,ND,ND,266.47500000,20.25000000,5.20500000,305.27000000,10.27000000,2.55000000,15.75500000,2.61000000,16.42500000,3.03000000,7.60500000,0.88500000,4.73000000,0.63000000,ND,0.40500000,K001-220617KA0,Feed,,,,,,,,
K001-220621KA0,751.53500000,21.46500000,ND,194.71500000,42.36750000,85.06500000,259.41000000,52.44750000,25.38000000,ND,ND,ND,ND,ND,27.70500000,34.02000000,ND,ND,594.27000000,ND,ND,ND,87.79500000,ND,ND,267.04500000,19.71000000,5.08500000,308.45500000,9.99000000,2.55750000,15.29500000,2.58000000,16.28500000,2.97000000,7.61250000,0.90000000,4.65500000,0.60000000,ND,0.39000000,K001-220617KA1,Aqueous,30.0 ml,30.0 ml,300.0 ml,300.0 ml,,,0.00 g,1.5
K001-220622KA0,734.08250000,19.32000000,ND,215.23500000,45.27000000,92.32500000,251.55000000,43.41750000,36.96000000,ND,ND,ND,ND,ND,28.92000000,33.49500000,ND,ND,587.43000000,ND,ND,ND,88.35000000,ND,ND,258.18000000,19.93500000,5.17500000,297.91500000,10.33500000,2.58000000,15.59000000,2.68500000,16.43500000,2.98500000,7.65750000,0.91500000,4.74500000,0.60000000,ND,0.39000000,K001-220617KA2,Aqueous,30.0 ml,29.0 ml,300.0 ml,300.0 ml,,,2ml,2
K001-220706KA0,707.71500000,21.31500000,ND,186.24000000,38.68500000,99.43500000,242.96250000,52.98750000,41.80500000,ND,ND,ND,ND,ND,25.99500000,33.64500000,ND,ND,583.65000000,ND,ND,ND,88.62000000,ND,ND,246.45000000,19.75500000,5.08500000,283.81000000,9.99000000,2.53500000,15.44500000,2.64000000,16.50000000,3.00000000,7.68000000,0.91500000,4.72000000,0.57000000,ND,0.39000000,K001-220621KA0,Feed,,,,,,,,
K001-220707KA0,714.91000000,20.74500000,ND,208.65000000,46.79250000,92.44500000,307.39500000,50.31750000,51.64500000,ND,ND,ND,ND,ND,28.57500000,34.26000000,ND,ND,573.58500000,ND,ND,ND,89.74500000,ND,ND,248.52000000,19.93500000,5.13000000,286.74500000,10.30500000,2.55750000,15.63000000,2.70000000,16.53000000,2.97000000,7.82250000,0.93000000,4.77500000,0.61500000,ND,0.39000000,K001-220621KA1,Aqueous,30.0 ml,29.5 ml,300.0 ml,299.0 ml,67.05 g,65.62 g,1.43 g,2.5
K001-220715KA0,713.56500000,23.47500000,ND,178.30500000,39.05250000,79.42500000,373.30500000,60.56250000,38.56500000,ND,ND,ND,ND,ND,28.87500000,33.58500000,ND,ND,580.71000000,ND,ND,ND,87.70500000,ND,ND,248.73000000,19.77000000,5.11500000,288.33500000,10.04000000,2.54250000,15.42500000,2.67000000,16.43000000,2.98500000,7.67250000,0.88500000,4.66000000,0.60000000,ND,0.40500000,K001-220621KA2,Aqueous,30.0 ml,29.0 ml,300.0 ml,300.0 ml,65.62 g,64.59 g,1.03 g,3
K001-220722KA0,701.14250000,21.75000000,ND,170.25000000,35.65500000,84.91500000,257.04750000,82.28250000,49.11000000,ND,ND,ND,ND,ND,28.65000000,34.21500000,ND,ND,582.27000000,ND,ND,ND,87.37500000,ND,ND,243.19500000,19.92000000,5.16000000,280.98500000,10.11500000,2.61750000,15.62500000,2.65500000,16.59000000,3.00000000,7.69500000,0.93000000,4.69500000,0.58500000,ND,0.39000000,K001-220622KA0,Feed,,,,,,,,
K001-220729KA0,694.88250000,ND,ND,166.08000000,42.96000000,95.04000000,246.95250000,48.50250000,43.84500000,ND,ND,ND,ND,ND,26.56500000,34.27500000,ND,ND,582.91500000,ND,ND,ND,88.00500000,ND,ND,238.39500000,19.78500000,5.07000000,278.91500000,10.26500000,2.57250000,15.47500000,2.67000000,16.64500000,3.04500000,7.74000000,0.91500000,4.78500000,0.60000000,ND,0.37500000,K001-220622KA1,Aqueous,30.0 ml,29.0 ml,300.0 ml,298.0 ml,64.81 g,63.34 g,1.47 g,3.5
K001-220617KA1,368.77525000,3.08400000,ND,70.66800000,6.29625000,38.02200000,55.79700000,84.88950000,28.92900000,7.34400000,ND,ND,ND,3.258000000,3.19650000,3.95550000,ND,ND,249.53250000,ND,ND,ND,8.95800000,ND,ND,216.12600000,1.95000000,0.64650000,134.20350000,1.07250000,0.28125000,1.85850000,0.27150000,1.70250000,0.29400000,0.78000000,0.08850000,0.47500000,0.06750000,ND,0.03300000,K001-220706KA0,Feed,,,,,,,,
K001-220617KA2,120.61175000,3.11400000,ND,502.07100000,5.48850000,40.64250000,51.93375000,71.81550000,16.14750000,7.66950000,ND,ND,ND,3.310500000,3.11850000,3.83400000,ND,ND,112.02900000,ND,ND,ND,8.92500000,ND,ND,58.81950000,1.95900000,0.54600000,43.70800000,1.06200000,0.28200000,1.68200000,0.26400000,1.67550000,0.29100000,0.77775000,0.08850000,0.46700000,0.06450000,ND,0.03450000,K001-220706KA1,Aqueous,30.0 ml,29.0 ml,300.0 ml,301.0 ml,62.72 g,62.33 g,0.39 g,1.5
