Sample,TREE,Li,Be,Na,Mg,Al,Si,P,K,Ca,Sc,Ti,51 V,Cr,Fe,Mn,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Nb,115 In,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Th,U,Sample ID,Sample Type,Org In,Org Out,Aq In,Aq Out,5% NaOH Start,5% NaOH End,5% NaOH Used,50% NaOH Start,50% NaOH End,50% NaOH Used,Eq pH
K001-220815KA0,605.4575,ND,ND,219.435,65.8425,84.06,1001.91,ND,69.36,242.55,0.27,ND,ND,ND,ND,ND,ND,ND,ND,327.045,ND,ND,ND,3.885,ND,ND,ND,289.245,1.11,0.525,307.58,0.37,ND,0.925,ND,0.945,ND,0.3375,ND,0.265,ND,ND,ND,K001-220815KA0,Feed,,,,,,,,,,,
K001-220901KA0,520.6125,ND,ND,227.31,69.3825,36.6,1048.6725,ND,83.49,318.795,0.255,ND,ND,ND,ND,ND,ND,ND,ND,280.365,ND,ND,ND,3.705,ND,ND,ND,248.31,1.065,0.42,264.085,0.375,ND,0.86,ND,0.945,ND,0.3225,ND,0.27,ND,ND,ND,K001-220815KA1,Aqueous,30,30,30,30,53.38,53.38,0,,,,1.5
K001-220907KA0,548.755,ND,ND,197.295,61.6725,30.645,982.575,ND,70.845,208.41,ND,ND,ND,ND,ND,ND,ND,ND,ND,291.6,ND,ND,ND,3.63,ND,ND,ND,261.915,1.125,0.465,278.91,0.395,ND,0.85,ND,0.885,ND,0.315,ND,0.265,ND,ND,ND,K001-220815KA2,Aqueous,30,30,30,30,53.38,51.22,2.16,,,,3.5
K001-220815KA1,44.64025,ND,ND,36.1605,20.34675,3.8235,ND,201.501,12.042,42.9525,0.039,ND,ND,ND,ND,ND,ND,ND,ND,43.83,ND,ND,ND,0.411,ND,ND,ND,24.4095,0.1425,0.039,19.191,0.0365,ND,0.2075,ND,0.0955,ND,0.04275,ND,0.026,ND,ND,ND,K001-220829KA1,Aqueous,30,30,30,30,51.21,49.93,1.28,,,,2
K001-220815KA2,25.51275,ND,ND,958.701,15.3825,3.024,ND,542.928,13.0575,46.485,ND,ND,ND,ND,ND,ND,ND,ND,ND,11.337,ND,ND,ND,0.3795,ND,ND,ND,12.7725,0.1065,0.0285,11.9375,0.038,ND,0.0965,ND,0.087,ND,0.03975,ND,0.027,ND,ND,ND,K001-220829KA2,Aqueous,30,30,30,30,49.93,46.62,3.31,,,,2.5
K001-220829KA1,2.4225,ND,ND,593.6955,17.27775,6.1995,ND,163.077,11.28,61.1955,ND,ND,ND,ND,ND,ND,ND,ND,ND,4.842,ND,ND,ND,0.36,ND,ND,ND,0.849,0.114,0.0165,0.8495,0.0375,ND,0.0625,ND,0.079,ND,0.0285,ND,0.026,ND,ND,ND,K001-220829KA3,Aqueous,30,30,30,30,46.62,44.81,1.81,,,,3
K001-220829KA2,12.55225,ND,ND,1428.4455,16.0635,2.874,ND,281.9955,14.9175,43.296,0.0195,ND,ND,ND,ND,ND,ND,ND,ND,6.072,ND,ND,ND,0.3735,ND,ND,ND,5.814,0.1095,0.0255,5.9685,0.038,ND,0.0645,ND,0.082,ND,0.02925,ND,0.028,ND,ND,ND,K001-220901KA0,Feed,,,,,,,,,,,
K001-220829KA3,19.57625,ND,ND,829.5915,8.211,2.6115,90.0855,340.3005,8.5755,29.7015,ND,ND,ND,ND,ND,ND,ND,ND,ND,9.453,ND,ND,ND,0.414,ND,ND,ND,8.7495,0.111,0.0285,10.031,0.037,ND,0.068,ND,0.082,ND,0.03075,ND,0.0245,ND,ND,ND,K001-220901KA1,Aqueous,30,30,30,30,44.81,44.81,0,,,,1.5
K001-220901KA1,15.61275,ND,ND,35.787,8.6355,2.853,92.24475,115.818,12.2655,24.3075,ND,ND,ND,ND,ND,ND,ND,ND,ND,34.1205,ND,ND,ND,0.36,ND,ND,ND,11.91,0.1125,0.021,2.9645,0.0395,ND,0.0695,ND,0.0805,ND,0.02925,ND,0.026,ND,ND,ND,K001-220901KA2,Aqueous,30,30,30,30,44.81,43.66,1.15,,,,2
K001-220901KA2,2.31725,ND,ND,475.428,10.0305,2.271,85.245,116.583,18.7095,22.9215,ND,ND,ND,ND,ND,ND,ND,ND,ND,5.316,ND,ND,ND,0.369,ND,ND,ND,0.8715,0.1095,0.018,0.7135,0.0385,ND,0.0605,ND,0.081,ND,0.03075,ND,0.025,ND,ND,ND,K001-220907KA0,Feed,,,,,,,,,,,
